Campaign,Campaign Type,Campaign Daily Budget,Ad Group,Keyword,Match Type,Max CPC,Campaign Status,Ad Group Status
IOBB | Refrativa,Search,15,Cirurgia Refrativa,cirurgia refrativa brasília,Exact,6.00,Paused,Enabled
IOBB | Refrativa,Search,15,Cirurgia Refrativa,cirurgia refrativa df,Exact,6.00,Paused,Enabled
IOBB | Refrativa,Search,15,Cirurgia Refrativa,cirurgia refrativa preço,Phrase,7.00,Paused,Enabled
IOBB | Refrativa,Search,15,Cirurgia Refrativa,cirurgia refrativa valor,Phrase,7.00,Paused,Enabled
IOBB | Refrativa,Search,15,Cirurgia Refrativa,cirurgia para tirar o grau,Phrase,7.00,Paused,Enabled
IOBB | Refrativa,Search,15,Miopia e Astigmatismo,cirurgia de miopia brasília,Exact,7.00,Paused,Enabled
IOBB | Refrativa,Search,15,Miopia e Astigmatismo,cirurgia de miopia preço,Phrase,8.00,Paused,Enabled
IOBB | Refrativa,Search,15,Miopia e Astigmatismo,cirurgia para miopia,Phrase,8.00,Paused,Enabled
IOBB | Refrativa,Search,15,Miopia e Astigmatismo,cirurgia astigmatismo brasília,Phrase,8.00,Paused,Enabled
IOBB | Refrativa,Search,15,Miopia e Astigmatismo,cirurgia miopia e astigmatismo,Phrase,8.00,Paused,Enabled
IOBB | Refrativa,Search,15,LASIK PRK Femto,lasik brasília,Exact,9.00,Paused,Enabled
IOBB | Refrativa,Search,15,LASIK PRK Femto,cirurgia lasik preço,Phrase,9.00,Paused,Enabled
IOBB | Refrativa,Search,15,LASIK PRK Femto,prk brasília,Exact,8.00,Paused,Enabled
IOBB | Refrativa,Search,15,LASIK PRK Femto,cirurgia prk,Phrase,8.00,Paused,Enabled
IOBB | Refrativa,Search,15,LASIK PRK Femto,femto lasik brasília,Phrase,9.00,Paused,Enabled
IOBB | Refrativa,Search,15,LASIK PRK Femto,cirurgia a laser nos olhos,Phrase,8.00,Paused,Enabled
IOBB | Refrativa,Search,15,Largar os Óculos,cirurgia para parar de usar óculos,Phrase,7.00,Paused,Enabled
IOBB | Refrativa,Search,15,Largar os Óculos,cirurgia para largar os óculos,Phrase,7.00,Paused,Enabled
IOBB | Refrativa,Search,15,Largar os Óculos,operar a vista brasília,Phrase,7.00,Paused,Enabled
